Fs,J_1,J_2,J_3,J_4,Jcheck_1,Jcheck_2,Jcheck_3,Jcheck_4
0.0548571428571428,10.9714285714286,-0.329142857142857,-0.00783673469387755,0.274285714285714,10.9714289042717,-0.329142824107009,-0.00783671738613378,0.274285733015134
133462.278919428,-1201160.51027485,-0,-0,-0,-1201160.77596322,0,0,0
0.14,7,0,0.02,0,7.00000002407108,0,0.0199998351213537,0
0.274285714285714,54.8571428571429,-1.64571428571429,-0.0391836734693878,0,54.8571443825807,-1.64571412053505,-0.039183656319608,0
1.05605,2.86760416666667,-0.114704166666667,0,0,2.86760615253456,-0.114703802012173,0,0
168075.577652196,-24754943.2698735,317895.420186155,0,0,-24754942.8604543,317895.610351115,0,0
27660.43792219,1458131.20631024,-113646.12409679,-3951.49113174143,46100.7298703166,1458131.3735107,-113646.092358977,-3951.46344089881,46100.7584817708
9220.14597406332,486043.735436748,-37882.0413655966,-1317.16371058047,46100.7298703166,486043.772980338,-37882.0368496235,-1317.16660689563,46100.7221019827
18440.2919481266,972087.470873496,-75764.0827311931,-2634.32742116095,46100.7298703166,972087.582340464,-75764.0736992471,-2634.29683400318,46100.7584817708
9220.14597406333,486043.735436748,-37882.0413655966,-1317.16371058048,0,486043.791170232,-37882.0368496235,-1317.16660689563,0
